ID,POS,Name,TM,Age,NAT,B,T
32906,SP,Sandy Alcantara,Miami,25,DOM,Right,Right
32688,SP,Tyler Alexander,Detroit,26,USA,Right,Left
33887,SP,Adbert Alzolay,Chicago,26,VEN,Right,Right
21368,SP,Brett Anderson,Milwaukee,33,USA,Left,Left
25637,SP,Ian Anderson,Atlanta,22,USA,Right,Right
29793,SP,Tyler Anderson,Pittsburgh,31,USA,Left,Left
83,SP,Tejay Antone,Cincinnati,27,USA,Right,Right
23901,SP,Chris Archer,Tampa Bay,32,USA,Right,Right
36338,SP,Kohei Arihara,Texas,28,JPN,Right,Right
22701,SP,Jake Arrieta,Chicago,35,USA,Right,Right
36574,SP,Michel Baez,San Diego,25,CUB,Right,Right
20100,SP,Brandon Bailey,Cincinnati,26,USA,Right,Right
29541,SP,Chris Bassitt,Oakland,32,USA,Right,Right
29427,SP,Trevor Bauer,Los Angeles,30,USA,Right,Right
29794,SP,Tyler Beede,San Francisco,27,USA,Right,Right
35771,SP,Jalen Beeks,Tampa Bay,27,USA,Left,Left
30715,SP,Jose Berrios,Minnesota,26,PUR,Right,Right
18966,SP,Shane Bieber,Cleveland,25,USA,Right,Right
32010,SP,Matthew Boyd,Detroit,30,USA,Left,Left
33055,SP,Steven Brault,Pittsburgh,28,USA,Left,Left
584,SP,JT Brubaker,Pittsburgh,27,USA,Right,Right
20875,SP,Walker Buehler,Los Angeles,26,USA,Right,Right
24105,SP,Madison Bumgarner,Arizona,31,USA,Right,Left
29428,SP,Dylan Bundy,Los Angeles,28,USA,Switch,Right
19150,SP,Brock Burke,Texas,24,USA,Left,Left
36852,SP,Corbin Burnes,Milwaukee,26,USA,Right,Right
20521,SP,Carlos Carrasco,New York,34,VEN,Right,Right
35135,SP,Luis Castillo,Cincinnati,28,DOM,Right,Right
1016,SP,Dylan Cease,Chicago,25,USA,Right,Right
21232,SP,Tyler Chatwood,Toronto,31,USA,Right,Right
34944,SP,Yonny Chirinos,Tampa Bay,27,VEN,Right,Right
20056,SP,Aaron Civale,Cleveland,25,USA,Right,Right
30255,SP,Mike Clevinger,San Diego,30,USA,Right,Right
24221,SP,Alex Cobb,Los Angeles,33,USA,Right,Right
20844,SP,Gerrit Cole,New York,30,USA,Right,Right
1611,SP,Edwar Colina,Minnesota,23,VEN,Right,Right
27927,SP,Patrick Corbin,Washington,31,USA,Left,Left
32174,SP,Wil Crowe,Pittsburgh,26,USA,Right,Right
18732,SP,Johnny Cueto,San Francisco,35,DOM,Right,Right
30345,SP,Yu Darvish,San Diego,34,JPN,Right,Right
30207,SP,Zach Davies,Chicago,28,USA,Right,Right
28467,SP,Jacob deGrom,New York,32,USA,Left,Right
30205,SP,Anthony DeSclafani,San Francisco,30,USA,Right,Right
26635,SP,Danny Duffy,Kansas City,32,USA,Left,Left
33351,SP,Dane Dunning,Texas,26,USA,Right,Right
30729,SP,Zach Eflin,Philadelphia,26,USA,Right,Right
27033,SP,Nathan Eovaldi,Boston,31,USA,Right,Right
20179,SP,Caleb Ferguson,Los Angeles,24,USA,Right,Left
24627,SP,Mike Fiers,Oakland,35,USA,Right,Right
1065,SP,Jack Flaherty,St. Louis,25,USA,Right,Right
37279,SP,Josh Fleming,Tampa Bay,24,USA,Right,Left
31447,SP,Chris Flexen,Seattle,26,USA,Right,Right
20132,SP,Bernardo Flores Jr.,St. Louis,25,USA,Left,Left
28822,SP,Mike Foltynewicz,Texas,29,USA,Right,Right
9,SP,Kyle Freeland,Colorado,27,USA,Left,Left
30629,SP,Max Fried,Atlanta,27,USA,Left,Left
167,SP,Zac Gallen,Arizona,25,USA,Right,Right
30150,SP,John Gant,St. Louis,28,USA,Right,Right
37719,SP,Luis Garcia,Houston,24,VEN,Right,Right
26858,SP,Rony Garcia,Detroit,23,DOM,Right,Right
30623,SP,Kevin Gausman,San Francisco,30,USA,Left,Right
31429,SP,Domingo German,New York,28,DOM,Right,Right
28221,SP,Kyle Gibson,Texas,33,USA,Right,Right
30619,SP,Lucas Giolito,Chicago,26,USA,Right,Right
30162,SP,Tyler Glasnow,Tampa Bay,27,USA,Left,Right
229,SP,Austin Gomber,Colorado,27,USA,Left,Left
31955,SP,Marco Gonzales,Seattle,29,USA,Left,Left
77,SP,Brusdar Graterol,Los Angeles,22,VEN,Right,Right
31857,SP,Jon Gray,Colorado,29,USA,Right,Right
21618,SP,Sonny Gray,Cincinnati,31,USA,Right,Right
18066,SP,Zack Greinke,Houston,37,USA,Right,Right
19156,SP,Jorge Guzman,Miami,25,DOM,Right,Right
18597,SP,J.A. Happ,Minnesota,38,USA,Left,Left
29133,SP,Matt Harvey,Baltimore,32,USA,Right,Right
25624,SP,Thomas Hatch,Toronto,26,USA,Right,Right
30662,SP,Andrew Heaney,Los Angeles,29,USA,Left,Left
30102,SP,Kyle Hendricks,Chicago,31,USA,Right,Right
34039,SP,Elieser Hernandez,Miami,25,VEN,Right,Right
18127,SP,Rich Hill,Tampa Bay,41,USA,Left,Left
10,SP,Jeff Hoffman,Cincinnati,28,USA,Right,Right
20678,SP,Tanner Houck,Boston,24,USA,Right,Right
29229,SP,Adrian Houser,Milwaukee,28,USA,Right,Right
33362,SP,Dakota Hudson,St. Louis,26,USA,Right,Right
19952,SP,Josh James,Houston,28,USA,Right,Right
529,SP,Cristian Javier,Houston,24,DOM,Right,Right
30200,SP,Jakob Junis,Kansas City,28,USA,Right,Right
20952,SP,James Kaprielian,Oakland,27,USA,Right,Right
33014,SP,Brad Keller,Kansas City,25,USA,Right,Right
1660,SP,Mitch Keller,Pittsburgh,24,USA,Right,Right
29095,SP,Merrill Kelly,Arizona,32,USA,Right,Right
18781,SP,Clayton Kershaw,Los Angeles,33,USA,Left,Left
24716,SP,Dallas Keuchel,Chicago,33,USA,Left,Left
34293,SP,Yusei Kikuchi,Seattle,29,JPN,Left,Left
34318,SP,Kwang Hyun Kim,St. Louis,32,KOR,Left,Left
22616,SP,Corey Kluber,New York,34,USA,Right,Right
20368,SP,Dean Kremer,Baltimore,25,USA,Right,Right
32141,SP,Chad Kuhl,Pittsburgh,28,USA,Right,Right
25629,SP,Peter Lambert,Colorado,23,USA,Right,Right
36612,SP,Dinelson Lamet,San Diego,28,DOM,Right,Right
18396,SP,Jon Lester,Washington,37,USA,Left,Left
29846,SP,Jorge Lopez,Baltimore,28,PUR,Right,Right
32524,SP,Pablo Lopez,Miami,25,VEN,Left,Right
31928,SP,Michael Lorenzen,Cincinnati,29,USA,Right,Right
19729,SP,Joey Lucchesi,New York,27,USA,Left,Left
26448,SP,Jesus Luzardo,Oakland,23,PER,Left,Left
26750,SP,Lance Lynn,Chicago,33,USA,Switch,Right
34291,SP,Kenta Maeda,Minnesota,32,JPN,Right,Right
32996,SP,Tyler Mahle,Cincinnati,26,USA,Right,Right
31875,SP,Sean Manaea,Oakland,29,USA,Right,Left
33745,SP,German Marquez,Colorado,26,VEN,Right,Right
34120,SP,Francis Martes,Houston,25,DOM,Right,Right
29157,SP,Carlos Martinez,St. Louis,29,DOM,Right,Right
28237,SP,Steven Matz,Toronto,29,USA,Right,Left
30621,SP,Lance McCullers Jr.,Houston,27,USA,Left,Right
23405,SP,Triston McKenzie,Cleveland,23,USA,Right,Right
233,SP,John Means,Baltimore,27,USA,Left,Left
28152,SP,Miles Mikolas,St. Louis,32,USA,Right,Right
26753,SP,Wade Miley,Cincinnati,34,USA,Left,Left
1773,SP,Tyson Miller,Chicago,25,USA,Right,Right
24816,SP,Mike Minor,Kansas City,33,USA,Right,Left
36707,SP,Casey Mize,Detroit,23,USA,Right,Right
31272,SP,Frankie Montas,Oakland,28,DOM,Right,Right
984,SP,Jordan Montgomery,New York,28,USA,Left,Left
22309,SP,Matt Moore,Philadelphia,31,USA,Left,Left
36573,SP,Adrian Morejon,San Diego,22,CUB,Left,Left
18809,SP,Charlie Morton,Atlanta,37,USA,Right,Right
31103,SP,Jose Mujica,Colorado,24,VEN,Right,Right
29260,SP,Joe Musgrove,San Diego,28,USA,Right,Right
18,SP,Aaron Nola,Philadelphia,27,USA,Right,Right
37006,SP,Dedniel Nunez,San Francisco,24,DOM,Right,Right
23747,SP,Jake Odorizzi,Houston,31,USA,Right,Right
34284,SP,Shohei Ohtani,Los Angeles,26,JPN,Left,Right
25239,SP,Chris Paddack,San Diego,25,USA,Right,Right
33478,SP,Joe Palumbo,Texas,26,USA,Left,Left
29134,SP,James Paxton,Seattle,32,CAN,Left,Left
37562,SP,Matt Peacock,Arizona,27,USA,Right,Right
23374,SP,Nate Pearson,Toronto,24,USA,Right,Right
30458,SP,Felix Pena,Los Angeles,31,DOM,Right,Right
35172,SP,Freddy Peralta,Milwaukee,24,DOM,Right,Right
27800,SP,Martin Perez,Boston,29,VEN,Left,Left
1392,SP,David Peterson,New York,25,USA,Left,Left
23778,SP,Michael Pineda,Minnesota,32,DOM,Right,Right
32035,SP,Nick Pivetta,Boston,28,CAN,Right,Right
25842,SP,Zach Plesac,Cleveland,26,USA,Right,Right
31882,SP,Adam Plutko,Baltimore,29,USA,Right,Right
36547,SP,Cody Ponce,Pittsburgh,26,USA,Right,Right
18902,SP,David Price,Los Angeles,35,USA,Left,Left
33026,SP,Austin Pruitt,Houston,31,USA,Right,Right
32079,SP,Cal Quantrill,Cleveland,26,CAN,Left,Right
28937,SP,Jose Quintana,Los Angeles,32,COL,Right,Left
28337,SP,Robbie Ray,Toronto,29,USA,Left,Left
1566,SP,Garrett Richards,Boston,32,USA,Right,Right
645,SP,Trevor Richards,Tampa Bay,27,USA,Right,Right
27769,SP,Tanner Roark,Toronto,34,USA,Right,Right
5,SP,Carlos Rodon,Chicago,28,USA,Left,Left
29378,SP,Eduardo Rodriguez,Boston,27,VEN,Left,Left
22201,SP,Trevor Rogers,Miami,23,USA,Left,Left
29796,SP,Joe Ross,Washington,27,USA,Right,Right
34331,SP,Hyun-jin Ryu,Toronto,34,KOR,Right,Left
28250,SP,Chris Sale,Boston,32,USA,Left,Left
28641,SP,Aaron Sanchez,San Francisco,28,USA,Right,Right
18853,SP,Max Scherzer,Washington,36,USA,Right,Right
1104,SP,Clarke Schmidt,New York,25,USA,Right,Right
32070,SP,Antonio Senzatela,Colorado,26,VEN,Right,Right
33686,SP,Luis Severino,New York,27,DOM,Right,Right
1009,SP,Justus Sheffield,Seattle,24,USA,Left,Left
27535,SP,Matt Shoemaker,Minnesota,34,USA,Right,Right
24169,SP,Brady Singer,Kansas City,24,USA,Right,Right
25311,SP,Tarik Skubal,Detroit,24,USA,Left,Left
32015,SP,Caleb Smith,Arizona,29,USA,Right,Left
29154,SP,Drew Smyly,Atlanta,31,USA,Left,Left
29452,SP,Blake Snell,San Diego,28,USA,Left,Left
20537,SP,Jose Soriano,Pittsburgh,22,DOM,Right,Right
23076,SP,Mike Soroka,Atlanta,23,CAN,Right,Right
31684,SP,Matt Strahm,San Diego,29,USA,Right,Left
24530,SP,Stephen Strasburg,Washington,32,USA,Right,Right
30864,SP,Ross Stripling,Toronto,31,USA,Right,Right
30642,SP,Marcus Stroman,New York,29,USA,Right,Right
34982,SP,Ranger Suarez,Philadelphia,25,VEN,Left,Left
28438,SP,Noah Syndergaard,New York,28,USA,Left,Right
28246,SP,Jameson Taillon,New York,29,USA,Right,Right
116,SP,Zach Thompson,Miami,27,USA,Right,Right
22841,SP,Josh Tomlin,Atlanta,36,USA,Right,Right
1012,SP,Touki Toussaint,Atlanta,24,USA,Right,Right
647,SP,Spencer Turnbull,Detroit,28,USA,Right,Right
30341,SP,Jose Urena,Detroit,29,DOM,Right,Right
32310,SP,Julio Urias,Los Angeles,24,MEX,Left,Left
6289,SP,Jose Urquidy,Houston,25,MEX,Right,Right
374,SP,Framber Valdez,Houston,27,DOM,Left,Left
18159,SP,Justin Verlander,Houston,38,USA,Right,Right
18199,SP,Adam Wainwright,St. Louis,39,USA,Right,Right
28945,SP,Taijuan Walker,New York,28,USA,Right,Right
36,SP,Luke Weaver,Arizona,27,USA,Right,Right
1706,SP,Logan Webb,San Francisco,24,USA,Right,Right
28219,SP,Zack Wheeler,Philadelphia,30,USA,Left,Right
31926,SP,Trevor Williams,Chicago,28,USA,Right,Right
30731,SP,Alex Wood,San Francisco,30,USA,Right,Left
595,SP,Brandon Woodruff,Milwaukee,28,USA,Left,Right
33210,SP,Ryan Yarbrough,Tampa Bay,29,USA,Right,Left
35359,RP,Bryan Abreu,Houston,23,DOM,Right,Right
29141,RP,Jason Adam,Chicago,29,USA,Right,Right
30736,RP,Austin Adams,San Diego,29,USA,Right,Right
28694,RP,Scott Alexander,Los Angeles,31,USA,Left,Left
22990,RP,Logan Allen,Cleveland,23,USA,Right,Left
298,RP,Dan Altavilla,San Diego,28,USA,Right,Right
34939,RP,Jose Alvarado,Philadelphia,25,VEN,Left,Left
24146,RP,Jose Alvarez,San Francisco,31,VEN,Left,Left
21880,RP,Nick Anderson,Tampa Bay,30,USA,Right,Right
30029,RP,Matt Andriese,Boston,31,USA,Right,Right
33569,RP,Victor Arano,Atlanta,26,MEX,Right,Right
30241,RP,Shawn Armstrong,Baltimore,30,USA,Right,Right
27590,RP,Luis Avilan,Washington,31,VEN,Left,Left
23349,RP,Pedro Baez,Houston,33,DOM,Right,Right
31204,RP,Luke Bard,Los Angeles,30,USA,Right,Right
29662,RP,Jacob Barnes,New York,30,USA,Right,Right
30220,RP,Matt Barnes,Boston,30,USA,Right,Right
32952,RP,Jaime Barria,Los Angeles,24,PAN,Right,Right
27264,RP,Anthony Bass,Miami,33,USA,Right,Right
346,RP,Eduard Bazardo,Boston,25,VEN,Right,Right
1728,RP,David Bednar,Pittsburgh,26,USA,Left,Right
28346,RP,Cam Bedrosian,Cincinnati,29,USA,Right,Right
36875,RP,Anthony Bender,Miami,26,USA,Right,Right
127,RP,Wes Benjamin,Texas,27,USA,Right,Left
32108,RP,Phil Bickford,Milwaukee,25,USA,Right,Right
1488,RP,Brandon Bielak,Houston,24,USA,Left,Right
27796,RP,Richard Bleier,Miami,33,USA,Left,Left
31030,RP,Ryan Borucki,Toronto,26,USA,Left,Left
26098,RP,Ben Bowden,Colorado,26,USA,Left,Left
28190,RP,Brad Boxberger,Milwaukee,32,USA,Right,Right
29668,RP,Archie Bradley,Philadelphia,28,USA,Right,Right
23609,RP,Ryan Brasier,Boston,33,USA,Right,Right
30271,RP,John Brebbia,San Francisco,30,USA,Left,Right
378,RP,Jeff Brigham,Miami,29,USA,Right,Right
23801,RP,Zack Britton,New York,33,USA,Left,Left
24854,RP,Rex Brothers,Chicago,33,USA,Left,Left
179,RP,Aaron Bummer,Chicago,27,USA,Left,Left
22614,RP,Matt Bush,Texas,35,USA,Right,Right
35541,RP,Genesis Cabrera,St. Louis,24,DOM,Left,Left
22479,RP,Trevor Cahill,Pittsburgh,33,USA,Right,Right
1537,RP,Paul Campbell,Miami,25,USA,Left,Right
1375,RP,Humberto Castellanos,Arizona,22,MEX,Right,Right
31527,RP,Jose Castillo,San Diego,25,VEN,Left,Left
34003,RP,Anthony Castro,Toronto,25,VEN,Right,Right
33750,RP,Miguel Castro,New York,26,DOM,Right,Right
477,RP,Blake Cederlind,Pittsburgh,25,USA,Right,Right
30368,RP,Luis Cessa,New York,28,MEX,Right,Right
24070,RP,Jhoulys Chacin,Colorado,33,VEN,Right,Right
30261,RP,Andrew Chafin,Chicago,30,USA,Right,Left
24512,RP,Aroldis Chapman,New York,33,CUB,Left,Left
33024,RP,Adam Cimber,Miami,30,USA,Right,Right
24032,RP,Steve Cishek,Los Angeles,34,USA,Right,Right
24696,RP,Jose Cisnero,Detroit,31,DOM,Right,Right
517,RP,Taylor Clarke,Arizona,27,USA,Right,Right
28864,RP,Alex Claudio,Los Angeles,29,PUR,Left,Left
18558,RP,Tyler Clippard,Arizona,36,USA,Right,Right
21000,RP,Kyle Cody,Texas,26,USA,Right,Right
27645,RP,Alex Colome,Minnesota,32,DOM,Right,Right
32,RP,Sam Coonrod,Philadelphia,28,USA,Right,Right
33044,RP,Jimmy Cordero,Chicago,29,DOM,Right,Right
33366,RP,Nestor Cortes,New York,26,CUB,Right,Left
32185,RP,Stefan Crichton,Arizona,29,USA,Right,Right
30048,RP,Kyle Crick,Pittsburgh,28,USA,Left,Right
34797,RP,Nabil Crismatt,San Diego,26,COL,Right,Right
35664,RP,Austin Davis,Pittsburgh,28,USA,Left,Left
22111,RP,Wade Davis,Kansas City,35,USA,Right,Right
37629,RP,Brett De Geus,Texas,23,USA,Right,Right
31907,RP,Jose De Leon,Cincinnati,28,PUR,Right,Right
25861,RP,Ethan DeCaster,Detroit,26,USA,Right,Right
18674,RP,Ross Detwiler,Miami,35,USA,Right,Left
30304,RP,Jairo Diaz,Colorado,29,VEN,Right,Right
23155,RP,Jake Diekman,Oakland,34,USA,Left,Left
27889,RP,Rafael Dolis,Toronto,33,DOM,Right,Right
34999,RP,Seranthony Dominguez,Philadelphia,26,DOM,Right,Right
22492,RP,Sean Doolittle,Cincinnati,34,USA,Left,Left
27850,RP,Oliver Drake,Tampa Bay,34,USA,Right,Right
31632,RP,Tyler Duffey,Minnesota,30,USA,Right,Right
20488,RP,Robert Dugger,Seattle,25,USA,Right,Right
22834,RP,Paolo Espino,Washington,34,PAN,Right,Right
33662,RP,Carlos Estevez,Colorado,28,DOM,Right,Right
102,RP,DeMarcus Evans,Texas,24,USA,Right,Right
21741,RP,Pete Fairbanks,Tampa Bay,27,USA,Right,Right
27756,RP,Jeurys Familia,New York,31,DOM,Right,Right
31850,RP,Buck Farmer,Detroit,30,USA,Left,Right
33,RP,Erick Fedde,Washington,28,USA,Right,Right
29224,RP,Michael Feliz,Pittsburgh,27,DOM,Right,Right
31877,RP,Kyle Finnegan,Washington,29,USA,Right,Right
31558,RP,Dylan Floro,Miami,30,USA,Left,Right
36869,RP,Matt Foster,Chicago,26,USA,Right,Right
25,RP,Jace Fry,Chicago,27,USA,Left,Left
33157,RP,Paul Fry,Baltimore,28,USA,Left,Left
20881,RP,Carson Fulmer,Cincinnati,27,USA,Right,Right
20882,RP,Kyle Funkhouser,Detroit,27,USA,Right,Right
31806,RP,Giovanny Gallegos,St. Louis,29,MEX,Right,Right
19772,RP,Bryan Garcia,Detroit,25,USA,Right,Right
31427,RP,Jarlin Garcia,San Francisco,28,DOM,Left,Left
30282,RP,Amir Garrett,Cincinnati,28,USA,Right,Left
30363,RP,Ken Giles,Seattle,30,USA,Right,Right
36309,RP,Kevin Ginkel,Arizona,27,USA,Left,Right
26728,RP,Mychal Givens,Colorado,30,USA,Right,Right
20233,RP,Tony Gonsolin,Los Angeles,26,USA,Right,Right
33571,RP,Victor Gonzalez,Los Angeles,25,MEX,Left,Left
29883,RP,Robert Gsellman,New York,27,USA,Right,Right
31290,RP,Reymin Guduan,Oakland,29,DOM,Left,Left
32182,RP,Javy Guerra,San Diego,25,PAN,Left,Right
